BMS_Object ID,BMS_Item Reference,BMS_Object Type,BMS_Name,Point_Type,BMS_Units,Interval Sec,DC,Block,Floor
93bef2ad-d788-5cc8-9821-f43fe6d3b61c,HMS-T:SNE-T1-L29-01/FC1.VAV-22.DPR-O,AO Mapper,DPR-O,,,0,FALSE,,
c219f03a-4295-5b56-a515-8581ec64bda5,HMS-T:SNE-T1-L36-01/FC1.VAV-67.TUNING-RESET,BV Mapper,TUNING-RESET,,,0,FALSE,,
d05bb60b-a94a-56ac-a501-4b4c1b281d23,HMS-T:SNE-T1-L20-01/FC1.VAV-70.DPR-O,AO Mapper,DPR-O,,,0,FALSE,,
2d626e84-c661-5b05-87a6-3e552bc24492,HMS-T:SNE-T1-L31-01/FC1.VAV-53H.HTGUNOCC-MINFLOW,AV Mapper,HTGUNOCC-MINFLOW,,,0,FALSE,,
3c9fe784-db24-50c3-8cc3-c10fb65d0add,HMS-T:SNE-T1-L32-01/FC1.VAV-42H.CLG-MAXFLOW,AV Mapper,CLG-MAXFLOW,,,0,FALSE,,
45cb4259-1d97-5ffc-bf01-4a5f594ae082,HMS-T:SNE-T2-L17-01/FC1.VAV-33H.HTG-EN,BV Mapper,HTG-EN,,,0,FALSE,,
7d7ea495-112f-5c0b-a393-9a33d81de77b,HMS-T:SNE-T1-L29-01/FC1.VAV-59H.ZN-T-SP,AV Mapper,ZN-T-SP,,,0,FALSE,,
9affa478-f627-55d4-9dd0-6356296bfdf1,HMS-T:SNE-T1-L31-01/FC1.VAV-27.ZN-T-SP,AV Mapper,ZN-T-SP,,,0,FALSE,,
f2ed44e4-115a-5afe-852e-99fa8b80a60f,HMS-T:SNE-T2-L31-01/FC1.DDC-T2-L30-02E.EAFT2L3005-DS,BI Mapper,EAFT2L3005-DS,,,0,FALSE,,
0cad3e13-a693-5c37-968a-c1ec04ccc03e,HMS-T:SNE-T2-L22-01/FC1.DDC-T2-L22-02.EAFT2L2105-FT,BI Mapper,EAFT2L2105-FT,,,0,FALSE,,
b5bb7775-f717-5230-8ad3-46cfd885ae3f,HMS-T:SNE-T2-L15-01/FC1.VAV-27H.DA-VP,AI Mapper,DA-VP,,,0,FALSE,,
ef66b478-a129-5550-aa8f-116593ead113,HMS-T:SNE-T1-L35-01/FC1.VAV-51,JCI Family BACnet Device,VAV-51,,,0,FALSE,,
8578327f-d420-5b3d-86e4-133a1ee04336,HMS-T:SNE-T1-L26-01/FC1.DDC-T1-L26-04.EAFT1L2602-FT,BI Mapper,EAFT1L2602-FT,,,0,FALSE,,
9c6c3a51-ca8c-587f-95ac-3d543fa8de71,HMS-T:SNE-T2-RF-01/FC1.DDC-T2-R-04B.CWP-T2-04-VSDS,BI Mapper,CWP-T2-04-VSDS,,,0,FALSE,,
2c6be33e-700f-5445-aa0a-732e31f37ede,HMS-T:SNE-T1-L36-01/FC1.VAV-07H.CLG-MAXFLOW,AV Mapper,CLG-MAXFLOW,,,0,FALSE,,
49b7520b-43f1-5990-9a78-72f32bcb5eb7,HMS-T:SNE-T2-L27-01/FC1.VAV-13H.ZN-T,AI Mapper,ZN-T,,,0,FALSE,,
7e830ac7-4507-58bb-b929-ca9c5000d872,HMS-T:SNE-T2-L17-01/FC1.DDC-T2-L17-02C.EAFT2L1702-AFS,BI Mapper,EAFT2L1702-AFS,,,0,FALSE,,
c309ca50-6eae-576d-b2f0-7bf9f42f8c17,HMS-T:SNE-T1-L26-01/FC1.VAV-08.SA-F,AV Mapper,SA-F,,,0,FALSE,,
c4eefb9c-b2a8-56d0-a16c-fdc93cf7e0c8,HMS-T:SNE-T1-L15-01/FC1.AHU-01,JCI Family BACnet Device,AHU-01,,,0,FALSE,,
f35d5446-9d1d-5293-a7bb-7b9556674a0a,HMS-T:SNE-T2-L15-01/FC1.VAV-16.HTGUNOCC-MINFLOW,AV Mapper,HTGUNOCC-MINFLOW,,,0,FALSE,,
006da69b-1d32-542f-9043-a4031cd3a557,HMS-T:SNE-T1-L35-01/FC1.VAV-54H.TUNING-RESET,BV Mapper,TUNING-RESET,,,0,FALSE,,
e3a6356e-39e8-5975-a6d2-9791d1c53d58,HMS-T:SNE-T2-L22-01/FC1.VAV-63H.SA-AREA,AV Mapper,SA-AREA,,,0,FALSE,,
09ef8b99-9755-5e93-ba33-098798609d36,HMS-T:SNE-T2-L25-01/FC1.VAV-22H.DA-VP,AI Mapper,DA-VP,,,0,FALSE,,
398f1c89-ec97-54e1-b79b-f19f62890ae7,HMS-T:SNE-T1-L16-01/FC1.VAV-47H.CLG-MAXFLOW,AV Mapper,CLG-MAXFLOW,,,0,FALSE,,
